Epoch,Train_Loss,Train_Accuracy,Train_Acc%,Val_Loss,Val_Accuracy,Val_Acc%,Accuracy_Gap,Accuracy_Gap%,Loss_Gap,Improvement,Improvement%,Status,Timestamp
1,-6.01945,0.4952,49.52,-11.614443,0.5095,50.95,-0.0143,-1.43,-5.595,0.0,0.0,Poor,2025-06-27 14:58:56
2,-27.573395,0.5107,51.07,-32.569012,0.5143,51.43,-0.0036,-0.36,-4.9956,0.0048,0.48,Poor,2025-06-27 14:58:56
3,-66.919273,0.5202,52.02,-74.803383,0.5667,56.67,-0.0464,-4.64,-7.8841,0.0524,5.24,Poor,2025-06-27 14:58:56
4,-128.073563,0.5024,50.24,-128.50885,0.6143,61.43,-0.1119,-11.19,-0.4353,0.0476,4.76,Poor,2025-06-27 14:58:56
5,-218.737244,0.5036,50.36,-217.780731,0.581,58.1,-0.0774,-7.74,0.9565,-0.0333,-3.33,Poor,2025-06-27 14:58:56
6,-329.971619,0.5226,52.26,-320.799774,0.5667,56.67,-0.044,-4.4,9.1718,-0.0143,-1.43,Poor,2025-06-27 14:58:56
7,-469.639587,0.5131,51.31,-442.969269,0.581,58.1,-0.0679,-6.79,26.6703,0.0143,1.43,Poor,2025-06-27 14:58:56
8,-655.629089,0.5226,52.26,-599.965454,0.5524,55.24,-0.0298,-2.98,55.6636,-0.0286,-2.86,Poor,2025-06-27 14:58:56
9,-857.999023,0.5048,50.48,-747.286316,0.5714,57.14,-0.0667,-6.67,110.7127,0.019,1.9,Poor,2025-06-27 14:58:56
