class_name,precision,recall,f1_score,support
catterpillar,0.9311678267594741,0.9525316455696202,0.9417285881892843,2528
healthy,0.7976570820021299,0.8359375,0.8163487738419618,896
mosaic,0.6812320916905444,0.7697288547146904,0.7227816834505035,2471
rust,0.8239740820734341,0.7153125,0.765807962529274,3200
