epoch,loss,accuracy,time,learning_rate,min_batch_loss,max_batch_loss,std_batch_loss
1,0.6960183780184941,69.05737141600461,10.753626585006714,0.0001,0.3054099977016449,2.494290590286255,0.1764910880933251
2,0.5741654193076315,75.20686147840668,10.860161304473877,0.0001,0.196653351187706,1.2028380632400513,0.1394372616911515
3,0.5229959563796942,77.00470077246612,11.013304710388184,0.0001,0.20065906643867493,1.1993604898452759,0.13627709423936366
4,0.5083382846025805,77.49951892679441,11.19271469116211,0.0001,0.19488267600536346,1.0873527526855469,0.1274682790775281
5,0.5027916704549429,77.58473760892872,11.242837190628052,0.0001,0.20241202414035797,1.1619938611984253,0.12601368755011277
6,0.48619157750824615,78.49190422519725,11.274281024932861,0.0001,0.19617582857608795,0.9324297308921814,0.12354750020452887
7,0.4663175431619953,79.08018803089864,11.007200717926025,0.0001,0.1385670304298401,0.9660694003105164,0.12470285967692042
8,0.4505396067388454,79.56675921598813,11.093971252441406,0.0001,0.13869595527648926,1.0553863048553467,0.12536709503904486
9,0.43931435294967003,80.24026170382385,10.733978748321533,0.0001,0.12996035814285278,0.9283542037010193,0.1167664886637248
10,0.43252537557453885,80.58663441185364,10.584096670150757,0.0001,0.13306774199008942,0.908079981803894,0.11704029322454153
11,0.42527413186056107,80.89177227368943,10.869348287582397,0.0001,0.15464161336421967,0.8402841091156006,0.11425048233425178
12,0.41595334734639894,81.19416114577892,10.83546781539917,0.0001,0.13671515882015228,0.8481555581092834,0.11249155613868371
13,0.4052450242751297,81.59826263848036,10.802287101745605,0.0001,0.12724190950393677,0.8819304704666138,0.11954078358998003
14,0.3971316571377722,82.10957473128626,10.53623366355896,0.0001,0.10868849605321884,0.8620778918266296,0.11713989092006509
15,0.39099848601990034,82.38447370591308,10.663866758346558,0.0001,0.14722073078155518,0.8019246459007263,0.10939212395865626
16,0.38384460347885613,82.60164389586826,10.619222164154053,0.0001,0.12613245844841003,0.8139151930809021,0.10799770731643159
17,0.3767546331714724,82.79407317810704,10.498104572296143,0.0001,0.10217339545488358,0.7593869566917419,0.11010207705900892
18,0.3681808365680926,83.39610193253979,10.69162893295288,0.0001,0.1331796497106552,0.8435802459716797,0.11077562502105069
19,0.36674817159391854,83.42359183000248,10.611668586730957,0.0001,0.11513273417949677,0.7793103456497192,0.10518827790009402
20,0.35732046019354724,83.90466503559942,10.693947076797485,0.0001,0.10085640102624893,0.8623875379562378,0.10947861565572008
21,0.3505383828489426,84.10809027682326,10.526690006256104,0.0001,0.10389987379312515,1.1965019702911377,0.11323442347740768
22,0.34474758520761706,84.69912307227094,10.548204898834229,0.0001,0.11787191778421402,0.8303511142730713,0.10812737997148687
23,0.3362466188552302,85.19119223685296,10.548629760742188,0.0001,0.07661823183298111,0.8477849364280701,0.10986265976250201
24,0.337261901170723,84.82282761085301,10.783632040023804,0.0001,0.08100879192352295,0.8282902836799622,0.1079020859028552
25,0.32796986707098774,85.23242708304699,10.715738296508789,0.0001,0.0981721356511116,0.6936928629875183,0.10145266373988324
26,0.32240131202505257,85.5513098936141,10.68871784210205,0.0001,0.0773211419582367,0.8967875838279724,0.11347131226985012
27,0.317770516383564,85.9664073453006,10.658449649810791,0.0001,0.07141164690256119,0.7736475467681885,0.10607426404936347
28,0.3130363150317101,86.23855733018115,10.377769231796265,0.0001,0.07589161396026611,0.8980210423469543,0.10796665595858433
29,0.3062524837437647,86.62066690491244,10.48535966873169,0.0001,0.03600219264626503,0.8264856338500977,0.10477659605372795
30,0.2997179118361039,86.74712043324078,10.658408164978027,0.0001,0.04206062853336334,0.7398388385772705,0.1030729592424195
31,0.2953974772162781,87.1952057618825,10.691375255584717,0.0001,0.0481177493929863,1.0683215856552124,0.1093746644967565
32,0.29076197276853527,87.21169970036011,10.60981822013855,0.0001,0.06065693497657776,0.7839798927307129,0.10231164826852512
33,0.2849883606285512,87.67627896747945,10.513268947601318,0.0001,0.07420006394386292,0.7200555801391602,0.10114912970903399
34,0.2813443330394247,87.92643703438986,10.583349704742432,0.0001,0.06781203299760818,0.6849872469902039,0.10089627330647721
35,0.27749431686985354,88.02814965500178,10.658702373504639,0.0001,0.06380617618560791,0.7830111980438232,0.09803024860137151
36,0.2698606889278824,88.38002034252412,10.52854585647583,0.0001,0.06386671215295792,0.6955933570861816,0.10011966577045066
37,0.2597953817277177,88.90507738406136,10.734539985656738,0.0001,0.03766336664557457,0.9862673282623291,0.0962867617568802
38,0.2643812044917646,88.81710971218078,10.574862718582153,0.0001,0.047034963965415955,1.2475621700286865,0.10463169870277952
39,0.25675000463962133,88.9710531379718,10.677891969680786,0.0001,0.053280673921108246,0.7220796346664429,0.0971287479943262
40,0.24615943857133651,89.7160293592105,10.482487201690674,0.0001,0.05087663605809212,0.7294545769691467,0.0990310365290972
