class_name,class_id,train_samples,test_samples,total_samples,train_percentage,test_percentage,overall_percentage
Soyabean_Mosaic,0,440,110,550,52.38095238095239,52.38095238095239,52.38095238095239
healthy,1,144,36,180,17.142857142857142,17.142857142857142,17.142857142857142
rust,2,256,64,320,30.476190476190478,30.476190476190478,30.476190476190478
