epoch,loss,accuracy,time,learning_rate,min_batch_loss,max_batch_loss,std_batch_loss
1,0.9872338418607358,54.76190476190476,0.33361124992370605,0.001,0.6590670943260193,2.09177303314209,0.2796777134771135
2,0.7219007258062009,67.61904761904762,0.13528156280517578,0.001,0.5263738632202148,0.8720665574073792,0.09241137452257438
3,0.5999362601174248,78.33333333333333,0.1342308521270752,0.001,0.4402827024459839,0.8730365037918091,0.10560012510709385
4,0.5128789533067633,81.42857142857143,0.1334230899810791,0.001,0.34785813093185425,0.7759133577346802,0.10078963134524066
5,0.5008045964770846,81.30952380952381,0.13456153869628906,0.001,0.31100788712501526,0.6585507392883301,0.09114491471422266
6,0.4687014189031389,83.80952380952381,0.13342809677124023,0.001,0.3222823441028595,0.6583966016769409,0.09065211363640112
7,0.43581772181722855,86.07142857142857,0.14094066619873047,0.001,0.288725346326828,0.7184870839118958,0.10745105498527215
8,0.40469002613314875,85.0,0.13380932807922363,0.001,0.27034997940063477,0.5718827247619629,0.07119403962401237
9,0.43028169925566073,85.5952380952381,0.1326289176940918,0.001,0.21904410421848297,0.7052596211433411,0.11350681974865644
10,0.38996978380061964,87.02380952380952,0.1327667236328125,0.001,0.24625316262245178,0.539642333984375,0.08845038951076532
11,0.40889085829257965,84.52380952380952,0.1326465606689453,0.001,0.11899004876613617,0.6869855523109436,0.13820785321160456
12,0.3987067523929808,86.30952380952381,0.13355445861816406,0.001,0.14577504992485046,0.8454307913780212,0.14892568932465616
13,0.3606795122226079,88.57142857142857,0.14065766334533691,0.001,0.19203241169452667,0.6250395774841309,0.09520461495963956
14,0.4612003824225179,81.54761904761905,0.1358330249786377,0.001,0.21486906707286835,0.8673155903816223,0.1659659855444295
15,0.3866423026279167,86.42857142857143,0.1339583396911621,0.001,0.1879521608352661,0.6788088083267212,0.12835316862983143
16,0.44737066438904516,82.5,0.13334035873413086,0.001,0.2052217572927475,0.8269236087799072,0.16239458876485346
17,0.4032945787465131,84.52380952380952,0.13323402404785156,0.001,0.09914101660251617,0.6472969651222229,0.14824342770711701
18,0.4002073859726941,84.76190476190476,0.13249969482421875,0.001,0.14767985045909882,0.76329505443573,0.13826001766238405
19,0.4268353581428528,84.28571428571429,0.1335592269897461,0.001,0.28520655632019043,0.6658661961555481,0.09940651527769213
20,0.4236772192849053,82.85714285714286,0.13248848915100098,0.001,0.1529587209224701,0.697357177734375,0.13920639502321244
