epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,89.3007,0.5403,0.93819,1,0.24444,0.00041652,0.00041652,0.00041652
2,172.575,0.2826,0.94653,1,0.1892,0.000668216,0.000668216,0.000668216
3,255.058,0.22983,0.95035,1,0.19093,0.000754911,0.000754911,0.000754911
4,337.023,0.18635,0.95312,1,0.16977,0.0005075,0.0005075,0.0005075
5,418.603,0.15323,0.95278,1,0.17819,0.00026,0.00026,0.00026
