Filename,Format,Size,Created,Modified,Accessed,Parsed Date/Time,Formatted Date
DJI_20231215160828_0110_D_000056.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.320136,2024-12-17 11:00:31,2025-06-28 18:58:38.483243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215155433_0107_D_000073.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.812136,2024-12-17 11:01:17,2025-06-28 18:58:38.487243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215161354_0111_D_000016.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.592136,2024-12-17 11:00:39,2025-06-28 18:58:38.487243,2023-12-15 16:13:54,"Friday, December 15, 2023 at 04:13:54 PM"
DJI_20231215155433_0107_D_000135.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.200136,2024-12-17 11:00:52,2025-06-28 18:58:38.487243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160306_0109_D_000060.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:01.916136,2024-12-17 11:00:56,2025-06-28 18:58:38.487243,2023-12-15 16:03:06,"Friday, December 15, 2023 at 04:03:06 PM"
DJI_20231215155433_0107_D_000085.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.888136,2024-12-17 11:01:14,2025-06-28 18:58:38.491243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215154914_0105_D_000142.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.852136,2024-12-17 11:00:51,2025-06-28 18:58:38.491243,2023-12-15 15:49:14,"Friday, December 15, 2023 at 03:49:14 PM"
DJI_20231217154545_0111_D_000172.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.448136,2024-11-02 16:35:34,2025-06-28 18:58:38.491243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215155242_0106_D_000015.jpg,JPEG,"(3840, 2160)",2025-06-27 14:34:59.920136,2024-12-17 11:01:42,2025-06-28 18:58:38.491243,2023-12-15 15:52:42,"Friday, December 15, 2023 at 03:52:42 PM"
DJI_20231215161354_0111_D_000026.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.648136,2024-12-17 11:00:32,2025-06-28 18:58:38.491243,2023-12-15 16:13:54,"Friday, December 15, 2023 at 04:13:54 PM"
DJI_20231215155433_0107_D_000045.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:00.612136,2024-12-17 11:01:34,2025-06-28 18:58:38.491243,2023-12-15 15:54:33,"Friday, December 15, 2023 at 03:54:33 PM"
DJI_20231215160828_0110_D_000225.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.364136,2024-12-17 10:59:56,2025-06-28 18:58:38.491243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231215160828_0110_D_000193.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:03.108136,2024-12-17 10:59:59,2025-06-28 18:58:38.491243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
DJI_20231217154545_0111_D_000168.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:04.424136,2024-11-02 16:35:20,2025-06-28 18:58:38.491243,2023-12-17 15:45:45,"Sunday, December 17, 2023 at 03:45:45 PM"
DJI_20231215160828_0110_D_000146.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:02.804136,2024-12-17 11:00:17,2025-06-28 18:58:38.491243,2023-12-15 16:08:28,"Friday, December 15, 2023 at 04:08:28 PM"
