epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time,cumulative_time,train_loss_improvement,val_loss_improvement,is_best_model
1,0.7616219621570781,69.298828125,0.6608482494577765,75.875,153.61348462104797,153.61348462104797,0.0,0.0,True
2,0.6691012682532892,73.548828125,0.6376161981746554,74.71875,139.92386174201965,293.5373463630676,0.09252069390378892,0.023232051283121113,True
3,0.6202664790907875,75.19140625,0.5901291195675731,76.546875,149.3252980709076,442.8626444339752,0.048834789162501724,0.047487078607082345,True
4,0.5959940115129575,75.955078125,0.5643943831883371,77.203125,186.9843258857727,629.8469703197479,0.02427246757782997,0.025734736379235956,True
5,0.5713563065882772,76.732421875,0.5674426458403468,76.65625,188.34933352470398,818.1963038444519,0.024637704924680315,-0.0030482626520096368,False
