class_name,class_id,train_samples,test_samples,total_samples,train_percentage,test_percentage,overall_percentage
Healthy_Soyabean,0,12800,3200,16000,25.0,25.0,25.0
Soyabean Semilooper and Caterpillar_Pest_Attack,1,12800,3200,16000,25.0,25.0,25.0
Soyabean_Mosaic,2,12800,3200,16000,25.0,25.0,25.0
Soyabean_Rust,3,12800,3200,16000,25.0,25.0,25.0
