class_name,class_id,train_samples,test_samples,total_samples,train_percentage,test_percentage,overall_percentage
Healthy_Soyabean,0,224,56,280,9.85481742190937,9.84182776801406,9.852216748768473
Soyabean Semilooper_Pest_Attack,1,632,158,790,27.804663440387156,27.768014059753952,27.797325826882478
Soyabean_Mosaic,2,617,155,772,27.144742630884295,27.240773286467483,27.16396903589022
rust,3,800,200,1000,35.19577650681918,35.1493848857645,35.186488388458834
